strategy_name,Period,net_pnl_change,Rank,Shifted_Period
S_GBPUSD_S35_4_6042225_C5E9B0ED,2021-06,160.27304505,10,2021-05
S_EURUSD_S41_2_2481771_CFA13660,2021-06,158.02927108999998,9,2021-05
S_EURUSD_S25_2_65287_C19B1B5D,2021-06,144.97616696,8,2021-05
S_EURUSD_S33_3_1949787_E2DA9B94,2021-06,142.8725108,7,2021-05
S_GBPUSD_S35_1_7791031_A9EA0170,2021-06,120.30952657,6,2021-05
S_GBPUSD_S35_1_3749132_746299E1,2021-06,106.82557172,5,2021-05
S_GBPUSD_S43_2_2540157_E8ED90A3,2021-06,102.37111632,4,2021-05
S_GBPUSD_S35_3_6866072_43587EAA,2021-06,90.69963598999999,3,2021-05
S_GBPUSD_S35_3_3976288_8EB54D21,2021-06,84.87872441,2,2021-05
S_EURUSD_S33_4_6607397_2278A9A2,2021-06,72.85765559000001,1,2021-05
L_GBPUSD_S34_3_5369060_803C285A,2021-07,144.77942206,10,2021-06
L_EURUSD_S40_4_1749569_FBBD71EC,2021-07,119.60903409,9,2021-06
L_EURUSD_S40_3_630091_CBB03EA1,2021-07,111.18309056,8,2021-06
S_GBPUSD_S43_4_757760_36AEAD74,2021-07,106.70982685,7,2021-06
L_EURUSD_S40_3_1464010_33F517BA,2021-07,104.43327887,6,2021-06
L_GBPUSD_S42_2_1263481_012B54F7,2021-07,85.52229358,5,2021-06
L_EURUSD_S32_2_4602819_51C88649,2021-07,78.76413662,4,2021-06
S_GBPUSD_S35_3_6866072_43587EAA,2021-07,76.57128216,3,2021-06
S_EURUSD_S41_1_1761360_D96E3336,2021-07,74.35943104,2,2021-06
S_GBPUSD_S35_2_7763450_208B97DC,2021-07,63.05719066,1,2021-06
L_GBPUSD_S34_3_2130541_D1469B50,2021-08,123.06814779000001,10,2021-07
L_GBPUSD_S30_2_184556_39B984AC,2021-08,111.09489432,9,2021-07
S_GBPUSD_S35_3_6866072_43587EAA,2021-08,99.7369469,8,2021-07
S_GBPUSD_S43_2_2540157_E8ED90A3,2021-08,86.29741052,7,2021-07
S_GBPUSD_S35_1_3749132_746299E1,2021-08,83.8681126,6,2021-07
S_GBPUSD_S35_0_2812691_CF6809DD,2021-08,79.6707734,5,2021-07
S_EURUSD_S27_1_713515_F35AC498,2021-08,72.85283985,4,2021-07
S_EURUSD_S41_2_1957722_C9BF0F3D,2021-08,69.2772106,3,2021-07
S_EURUSD_S41_1_1761360_D96E3336,2021-08,68.77085279,2,2021-07
L_EURUSD_S40_1_2132828_63A45C87,2021-08,59.32290354,1,2021-07
S_EURUSD_S33_4_6607397_2278A9A2,2021-09,126.8023048,10,2021-08
S_EURUSD_S41_1_1761360_D96E3336,2021-09,123.06874584,9,2021-08
L_GBPUSD_S30_2_184556_39B984AC,2021-09,108.2604681,8,2021-08
L_GBPUSD_S42_4_1786370_A28D04BD,2021-09,88.60705478999999,7,2021-08
S_EURUSD_S27_1_713515_F35AC498,2021-09,80.40993637,6,2021-08
S_GBPUSD_S35_1_7791031_A9EA0170,2021-09,75.74298297,5,2021-08
S_EURUSD_S41_3_3294457_1DA61FB3,2021-09,72.33804073,4,2021-08
S_EURUSD_S33_3_1448881_78FBD3B5,2021-09,63.01231745,3,2021-08
S_EURUSD_S25_2_65287_C19B1B5D,2021-09,61.569767569999996,2,2021-08
L_GBPUSD_S42_3_2738258_D59264DC,2021-09,58.98807689,1,2021-08
S_GBPUSD_S43_4_757760_36AEAD74,2021-10,163.76345781999999,10,2021-09
L_EURUSD_S32_0_4743030_AA8ABD07,2021-10,120.80670727,9,2021-09
L_GBPUSD_S30_2_580890_F34C951A,2021-10,111.28335553,8,2021-09
S_GBPUSD_S35_4_6042225_C5E9B0ED,2021-10,105.54264255,7,2021-09
L_GBPUSD_S42_4_793519_D8FAB916,2021-10,89.88481623000001,6,2021-09
L_GBPUSD_S34_1_4050495_1CCF17C8,2021-10,87.58025672,5,2021-09
L_GBPUSD_S42_4_1672550_C717C9EF,2021-10,77.0237806,4,2021-09
L_GBPUSD_S42_4_1061317_58ADC376,2021-10,76.95568921,3,2021-09
L_GBPUSD_S34_2_9722597_DB736AAF,2021-10,69.60496142,2,2021-09
L_GBPUSD_S34_2_1227018_49061A95,2021-10,69.58913425,1,2021-09
S_GBPUSD_S35_3_3685202_06824EEE,2021-11,250.36865139,10,2021-10
S_GBPUSD_S35_3_4974188_B011F908,2021-11,202.33780124,9,2021-10
S_GBPUSD_S35_1_7791031_A9EA0170,2021-11,184.78884881000002,8,2021-10
L_GBPUSD_S34_2_1227018_49061A95,2021-11,161.09053152,7,2021-10
S_GBPUSD_S35_4_6042225_C5E9B0ED,2021-11,158.34497801999999,6,2021-10
S_GBPUSD_S35_1_3749132_746299E1,2021-11,149.00679397000002,5,2021-10
S_GBPUSD_S43_3_2447853_CDFA30F9,2021-11,148.20922517999998,4,2021-10
S_GBPUSD_S35_3_6866072_43587EAA,2021-11,137.77692055,3,2021-10
S_GBPUSD_S35_4_5253232_FC905F76,2021-11,128.84184989,2,2021-10
S_GBPUSD_S43_2_2904025_DD672B80,2021-11,112.47865489,1,2021-10
S_EURUSD_S25_2_65287_C19B1B5D,2021-12,183.33050655,10,2021-11
L_GBPUSD_S42_4_1061317_58ADC376,2021-12,168.18975763,9,2021-11
L_GBPUSD_S34_3_6845667_DC6B39EE,2021-12,138.53388243,8,2021-11
S_EURUSD_S41_1_1664848_ECE9614A,2021-12,135.58965028,7,2021-11
S_GBPUSD_S43_2_2904025_DD672B80,2021-12,131.22513658,6,2021-11
L_EURUSD_S32_0_4743030_AA8ABD07,2021-12,110.96289228,5,2021-11
S_GBPUSD_S35_0_2648124_940EFDBB,2021-12,109.04028184,4,2021-11
L_EURUSD_S40_3_320272_20B3B02A,2021-12,93.23476328000001,3,2021-11
L_EURUSD_S26_1_640342_4C128428,2021-12,90.68950126,2,2021-11
L_GBPUSD_S42_4_463457_5325E483,2021-12,87.43180492,1,2021-11
L_GBPUSD_S34_3_2130541_D1469B50,2022-01,142.53621043,10,2021-12
S_GBPUSD_S35_3_3685202_06824EEE,2022-01,138.21396837,9,2021-12
S_GBPUSD_S43_1_3044982_98DCBCEA,2022-01,117.699441,8,2021-12
S_EURUSD_S41_1_1761360_D96E3336,2022-01,109.13989459,7,2021-12
S_GBPUSD_S43_4_49961_9510B871,2022-01,102.69716317,6,2021-12
L_GBPUSD_S42_3_2389523_290B8AD0,2022-01,97.22742848,5,2021-12
L_EURUSD_S40_3_630091_CBB03EA1,2022-01,79.46555042,4,2021-12
S_EURUSD_S33_3_1448881_78FBD3B5,2022-01,74.8166631,3,2021-12
L_EURUSD_S32_2_9737662_670B1C00,2022-01,70.59528358,2,2021-12
S_GBPUSD_S35_3_3976288_8EB54D21,2022-01,69.96156856,1,2021-12
L_GBPUSD_S34_3_2130541_D1469B50,2022-02,288.4996085,10,2022-01
S_EURUSD_S25_2_65287_C19B1B5D,2022-02,227.24194979,9,2022-01
L_GBPUSD_S34_2_9722597_DB736AAF,2022-02,185.58087171000003,8,2022-01
S_GBPUSD_S35_3_3685202_06824EEE,2022-02,179.88632881,7,2022-01
L_EURUSD_S32_2_9737662_670B1C00,2022-02,168.53679828,6,2022-01
L_GBPUSD_S42_3_2389523_290B8AD0,2022-02,164.85784094000002,5,2022-01
S_EURUSD_S27_0_968056_401BDC61,2022-02,161.57657135,4,2022-01
L_GBPUSD_S42_2_1172432_88BC73CA,2022-02,148.59194512,3,2022-01
S_EURUSD_S29_1_277813_71E5B6D0,2022-02,145.66634334,2,2022-01
S_EURUSD_S33_0_5403963_BA50C13E,2022-02,138.51633806,1,2022-01
S_GBPUSD_S35_1_7791031_A9EA0170,2022-03,236.91411886,10,2022-02
S_GBPUSD_S35_1_3749132_746299E1,2022-03,197.18771339999998,9,2022-02
S_GBPUSD_S43_4_49961_9510B871,2022-03,179.01148029,8,2022-02
S_GBPUSD_S43_2_2904025_DD672B80,2022-03,123.46715241,7,2022-02
S_GBPUSD_S35_3_6866072_43587EAA,2022-03,122.46585042,6,2022-02
S_EURUSD_S41_1_1176919_2F8BC697,2022-03,111.56822377,5,2022-02
S_EURUSD_S41_2_1957722_C9BF0F3D,2022-03,103.12533271,4,2022-02
S_GBPUSD_S35_3_4974188_B011F908,2022-03,101.5119723,3,2022-02
S_EURUSD_S27_1_713515_F35AC498,2022-03,101.13054994999999,2,2022-02
L_EURUSD_S32_0_4743030_AA8ABD07,2022-03,98.35252131,1,2022-02
S_EURUSD_S41_2_1957722_C9BF0F3D,2022-04,231.96591215,10,2022-03
S_GBPUSD_S35_3_3685202_06824EEE,2022-04,174.29014218000003,9,2022-03
S_EURUSD_S41_1_1664848_ECE9614A,2022-04,169.20308164,8,2022-03
S_GBPUSD_S43_3_882873_58F47051,2022-04,131.85593128,7,2022-03
S_EURUSD_S41_1_1761360_D96E3336,2022-04,126.44543471,6,2022-03
S_GBPUSD_S43_2_2540157_E8ED90A3,2022-04,124.39330569,5,2022-03
L_EURUSD_S26_0_642381_17F8C609,2022-04,123.52024310000002,4,2022-03
S_EURUSD_S33_4_6607397_2278A9A2,2022-04,118.41411889,3,2022-03
S_EURUSD_S41_2_2481771_CFA13660,2022-04,112.80775675,2,2022-03
S_EURUSD_S33_3_9645908_9F4E969C,2022-04,111.37649614,1,2022-03
L_GBPUSD_S30_2_580890_F34C951A,2022-05,214.42544669,10,2022-04
S_EURUSD_S33_4_4585430_51A0A4C5,2022-05,204.6779883,9,2022-04
S_GBPUSD_S35_3_3685202_06824EEE,2022-05,204.54082922,8,2022-04
L_EURUSD_S32_0_4743030_AA8ABD07,2022-05,197.64239458,7,2022-04
L_GBPUSD_S42_4_793519_D8FAB916,2022-05,189.70632077000002,6,2022-04
L_EURUSD_S26_0_642381_17F8C609,2022-05,182.02350475,5,2022-04
L_EURUSD_S26_3_153647_5E8BD1C5,2022-05,169.11472426,4,2022-04
L_EURUSD_S40_4_2452882_AE0270FD,2022-05,146.51357805,3,2022-04
L_GBPUSD_S42_4_1672550_C717C9EF,2022-05,139.34923583,2,2022-04
L_EURUSD_S40_4_10593_E8471C8F,2022-05,133.18033965,1,2022-04
S_GBPUSD_S43_2_2540157_E8ED90A3,2022-06,405.87238794,10,2022-05
S_GBPUSD_S35_3_4974188_B011F908,2022-06,274.84853939,9,2022-05
L_EURUSD_S26_0_642381_17F8C609,2022-06,238.81761873,8,2022-05
S_EURUSD_S33_4_6607397_2278A9A2,2022-06,217.70369091,7,2022-05
S_GBPUSD_S35_3_6866072_43587EAA,2022-06,213.68714769,6,2022-05
S_EURUSD_S25_2_65287_C19B1B5D,2022-06,160.6493707,5,2022-05
L_EURUSD_S26_1_640342_4C128428,2022-06,150.61604169,4,2022-05
S_GBPUSD_S35_3_3685202_06824EEE,2022-06,125.16349224999999,3,2022-05
S_GBPUSD_S43_1_2000358_9C9CF06A,2022-06,125.04151839,2,2022-05
S_EURUSD_S41_2_1435660_4B44F5C0,2022-06,124.66914097,1,2022-05
S_EURUSD_S25_2_65287_C19B1B5D,2022-07,215.45409071,10,2022-06
S_EURUSD_S27_2_941811_128EF295,2022-07,153.87239938,9,2022-06
S_EURUSD_S41_1_1191650_D80D6642,2022-07,144.66950671,8,2022-06
S_EURUSD_S27_0_968056_401BDC61,2022-07,129.43765216,7,2022-06
L_EURUSD_S40_3_2590923_2CF7B5E9,2022-07,127.65050238,6,2022-06
L_EURUSD_S40_3_630091_CBB03EA1,2022-07,120.68421006,5,2022-06
L_GBPUSD_S30_2_580890_F34C951A,2022-07,119.54857364,4,2022-06
L_GBPUSD_S42_1_1080818_1D3D5D86,2022-07,118.5478942,3,2022-06
L_EURUSD_S32_1_9529041_FA929DA9,2022-07,109.29965399,2,2022-06
S_GBPUSD_S35_1_6667748_CD1C245A,2022-07,103.18156667,1,2022-06
L_GBPUSD_S42_3_1417966_7E821E6D,2022-08,272.84950504,10,2022-07
L_EURUSD_S24_2_977031_FFF2B578,2022-08,207.85223491,9,2022-07
S_EURUSD_S27_0_968056_401BDC61,2022-08,197.38603447,8,2022-07
S_GBPUSD_S35_3_6866072_43587EAA,2022-08,187.03641768,7,2022-07
S_EURUSD_S33_4_6607397_2278A9A2,2022-08,155.73381467,6,2022-07
L_EURUSD_S26_1_640342_4C128428,2022-08,153.37883231,5,2022-07
S_EURUSD_S41_1_1176919_2F8BC697,2022-08,147.50943332999998,4,2022-07
S_GBPUSD_S35_1_3749132_746299E1,2022-08,137.43555195,3,2022-07
S_EURUSD_S41_1_1761360_D96E3336,2022-08,121.67138298,2,2022-07
L_GBPUSD_S34_3_5369060_803C285A,2022-08,120.92527878,1,2022-07
L_GBPUSD_S42_1_1080818_1D3D5D86,2022-09,371.29730486,10,2022-08
L_GBPUSD_S30_2_580890_F34C951A,2022-09,281.83927757,9,2022-08
S_GBPUSD_S35_1_3749132_746299E1,2022-09,259.79752148,8,2022-08
L_GBPUSD_S42_4_1672550_C717C9EF,2022-09,235.56405548,7,2022-08
L_EURUSD_S40_3_630091_CBB03EA1,2022-09,212.01760030999998,6,2022-08
S_GBPUSD_S35_1_9519598_603C0308,2022-09,209.70396809,5,2022-08
S_GBPUSD_S43_3_882873_58F47051,2022-09,203.26857788,4,2022-08
L_GBPUSD_S42_4_775755_F760C0D4,2022-09,201.52923787999998,3,2022-08
L_GBPUSD_S34_3_5369060_803C285A,2022-09,188.25773994,2,2022-08
S_GBPUSD_S35_1_5478144_D156D8AD,2022-09,182.22982855,1,2022-08
L_GBPUSD_S30_2_184556_39B984AC,2022-10,329.88474703,10,2022-09
L_EURUSD_S26_1_640342_4C128428,2022-10,305.48314185,9,2022-09
S_GBPUSD_S35_2_7763450_208B97DC,2022-10,241.05868442,8,2022-09
S_GBPUSD_S43_2_2540157_E8ED90A3,2022-10,193.32985613269796,7,2022-09
S_GBPUSD_S35_1_9519598_603C0308,2022-10,189.35233933,6,2022-09
S_EURUSD_S41_2_2481771_CFA13660,2022-10,189.13553321,5,2022-09
S_GBPUSD_S43_4_49961_9510B871,2022-10,163.5977206785122,4,2022-09
L_GBPUSD_S42_4_1786370_A28D04BD,2022-10,157.86833695,3,2022-09
L_GBPUSD_S34_2_1227018_49061A95,2022-10,137.20168758677588,2,2022-09
L_GBPUSD_S42_4_2470336_82FFDCA5,2022-10,136.1590761,1,2022-09
L_EURUSD_S26_1_640342_4C128428,2022-11,420.60359705,10,2022-10
L_EURUSD_S26_3_153647_5E8BD1C5,2022-11,385.70397241,9,2022-10
L_EURUSD_S40_3_2590923_2CF7B5E9,2022-11,334.7469617,8,2022-10
S_GBPUSD_S35_3_4974188_B011F908,2022-11,304.21129658,7,2022-10
L_GBPUSD_S34_3_2130541_D1469B50,2022-11,269.86435747,6,2022-10
L_EURUSD_S26_0_642381_17F8C609,2022-11,266.5504794,5,2022-10
L_GBPUSD_S42_4_793519_D8FAB916,2022-11,231.83167753,4,2022-10
L_EURUSD_S32_1_2565713_BD746882,2022-11,228.77159182999998,3,2022-10
L_EURUSD_S40_3_2605289_E2A4C437,2022-11,214.82213812999998,2,2022-10
L_EURUSD_S32_2_2999345_8D98723E,2022-11,202.07834015,1,2022-10
L_EURUSD_S26_1_640342_4C128428,2022-12,311.11444209,10,2022-11
S_GBPUSD_S35_1_7791031_A9EA0170,2022-12,295.30008664999997,9,2022-11
L_EURUSD_S40_3_2605289_E2A4C437,2022-12,256.11243459,8,2022-11
S_GBPUSD_S35_3_9012049_9A8063D9,2022-12,234.26758388,7,2022-11
L_EURUSD_S40_1_2021494_EBF286EB,2022-12,233.1841544,6,2022-11
L_EURUSD_S32_1_9529041_FA929DA9,2022-12,230.84992318,5,2022-11
S_GBPUSD_S43_1_3044982_98DCBCEA,2022-12,213.61122208,4,2022-11
S_EURUSD_S27_2_941811_128EF295,2022-12,209.85534439,3,2022-11
L_GBPUSD_S34_2_9722597_DB736AAF,2022-12,185.20825842,2,2022-11
L_EURUSD_S32_0_4743030_AA8ABD07,2022-12,184.32321854,1,2022-11
L_EURUSD_S26_1_640342_4C128428,2023-01,319.11020801,10,2022-12
L_EURUSD_S40_3_2293618_E736654E,2023-01,318.02537252,9,2022-12
L_EURUSD_S26_3_153647_5E8BD1C5,2023-01,279.92221132000003,8,2022-12
S_GBPUSD_S43_4_757760_36AEAD74,2023-01,260.21942358,7,2022-12
S_GBPUSD_S35_1_7791031_A9EA0170,2023-01,247.42849945,6,2022-12
L_EURUSD_S32_1_9529041_FA929DA9,2023-01,245.08111849,5,2022-12
L_GBPUSD_S42_4_1061317_58ADC376,2023-01,239.09103713000002,4,2022-12
L_EURUSD_S40_1_2021494_EBF286EB,2023-01,218.16881204999999,3,2022-12
S_GBPUSD_S35_3_9012049_9A8063D9,2023-01,217.21766073,2,2022-12
S_GBPUSD_S35_1_3749132_746299E1,2023-01,198.62423449,1,2022-12
S_EURUSD_S33_4_6607397_2278A9A2,2023-02,310.0936047,10,2023-01
S_GBPUSD_S35_1_7791031_A9EA0170,2023-02,255.00889511999998,9,2023-01
S_EURUSD_S41_2_1435660_4B44F5C0,2023-02,219.40042017000002,8,2023-01
S_EURUSD_S33_4_4585430_51A0A4C5,2023-02,203.73750834,7,2023-01
S_GBPUSD_S35_1_9519598_603C0308,2023-02,197.05395046,6,2023-01
S_GBPUSD_S43_1_2620167_C2DD906B,2023-02,177.76689818,5,2023-01
S_EURUSD_S33_3_9645908_9F4E969C,2023-02,170.87622915,4,2023-01
L_GBPUSD_S42_1_1080818_1D3D5D86,2023-02,168.39019137,3,2023-01
S_GBPUSD_S35_4_6042225_C5E9B0ED,2023-02,162.16519883,2,2023-01
L_GBPUSD_S34_3_2130541_D1469B50,2023-02,155.70864281000001,1,2023-01
L_EURUSD_S26_3_153647_5E8BD1C5,2023-03,342.01348838,10,2023-02
L_EURUSD_S32_2_9737662_670B1C00,2023-03,339.70874233,9,2023-02
L_EURUSD_S40_3_2605289_E2A4C437,2023-03,313.11465755,8,2023-02
L_GBPUSD_S42_3_1417966_7E821E6D,2023-03,302.983099,7,2023-02
L_GBPUSD_S42_2_1172432_88BC73CA,2023-03,267.14799363,6,2023-02
L_EURUSD_S40_3_2590923_2CF7B5E9,2023-03,252.73742617,5,2023-02
L_EURUSD_S32_1_9529041_FA929DA9,2023-03,250.39446021,4,2023-02
L_GBPUSD_S42_2_1263481_012B54F7,2023-03,235.46990752,3,2023-02
L_EURUSD_S26_0_642381_17F8C609,2023-03,225.99526207,2,2023-02
L_EURUSD_S40_1_2132828_63A45C87,2023-03,204.00527388,1,2023-02
L_EURUSD_S40_1_309154_BCC61E94,2023-04,212.85811106,10,2023-03
L_EURUSD_S26_3_153647_5E8BD1C5,2023-04,193.88360909,9,2023-03
L_GBPUSD_S42_3_2299833_367BB086,2023-04,176.73397774,8,2023-03
S_EURUSD_S25_2_65287_C19B1B5D,2023-04,173.03939106,7,2023-03
L_GBPUSD_S34_3_2130541_D1469B50,2023-04,161.17842584,6,2023-03
S_EURUSD_S41_2_2481771_CFA13660,2023-04,158.65460324999998,5,2023-03
L_EURUSD_S40_3_2590923_2CF7B5E9,2023-04,140.68193784,4,2023-03
L_GBPUSD_S42_4_793519_D8FAB916,2023-04,131.11737369,3,2023-03
L_EURUSD_S40_1_2132828_63A45C87,2023-04,127.45443925999999,2,2023-03
S_EURUSD_S33_4_6607397_2278A9A2,2023-04,112.86733518,1,2023-03
S_GBPUSD_S35_1_3749132_746299E1,2023-05,337.74342088000003,10,2023-04
S_EURUSD_S41_2_2481771_CFA13660,2023-05,264.62925551,9,2023-04
S_EURUSD_S41_1_62593_8982CD74,2023-05,259.05311641000003,8,2023-04
S_EURUSD_S27_0_968056_401BDC61,2023-05,202.92325879,7,2023-04
S_EURUSD_S41_4_513234_C8B6B6F2,2023-05,186.2725229,6,2023-04
L_GBPUSD_S34_2_9722597_DB736AAF,2023-05,173.74842466,5,2023-04
S_GBPUSD_S35_4_6042225_C5E9B0ED,2023-05,171.80414448,4,2023-04
S_EURUSD_S33_3_1448881_78FBD3B5,2023-05,171.08297720000002,3,2023-04
S_EURUSD_S33_4_6607397_2278A9A2,2023-05,160.76803059,2,2023-04
L_GBPUSD_S42_3_2299833_367BB086,2023-05,155.32945285,1,2023-04
L_EURUSD_S40_3_2590923_2CF7B5E9,2023-06,241.08859692999997,10,2023-05
S_EURUSD_S33_4_6607397_2278A9A2,2023-06,217.86543799,9,2023-05
L_GBPUSD_S42_4_1061317_58ADC376,2023-06,198.90045244,8,2023-05
L_EURUSD_S26_3_153647_5E8BD1C5,2023-06,196.62830153,7,2023-05
S_EURUSD_S33_1_1965310_88C485AE,2023-06,187.0763121,6,2023-05
S_EURUSD_S41_2_2481771_CFA13660,2023-06,185.20802401,5,2023-05
L_EURUSD_S40_3_2605289_E2A4C437,2023-06,165.41200083,4,2023-05
S_GBPUSD_S43_1_2000358_9C9CF06A,2023-06,158.79761811,3,2023-05
L_GBPUSD_S42_4_463457_5325E483,2023-06,147.97930297,2,2023-05
S_GBPUSD_S43_4_757760_36AEAD74,2023-06,145.27209459,1,2023-05
S_GBPUSD_S43_2_2540157_E8ED90A3,2023-07,194.58324608,10,2023-06
L_EURUSD_S26_1_640342_4C128428,2023-07,187.42386928,9,2023-06
L_GBPUSD_S42_4_1061317_58ADC376,2023-07,158.64594798000002,8,2023-06
S_GBPUSD_S35_3_4974188_B011F908,2023-07,151.662135,7,2023-06
S_EURUSD_S33_3_9645908_9F4E969C,2023-07,145.96967204,6,2023-06
L_GBPUSD_S34_3_2130541_D1469B50,2023-07,137.87106493,5,2023-06
S_GBPUSD_S35_1_9519598_603C0308,2023-07,119.77777920999999,4,2023-06
L_EURUSD_S26_3_153647_5E8BD1C5,2023-07,117.24215052999999,3,2023-06
S_EURUSD_S27_0_968056_401BDC61,2023-07,104.65095762,2,2023-06
L_GBPUSD_S34_4_8079186_743600CC,2023-07,103.84705055,1,2023-06
S_GBPUSD_S43_4_757760_36AEAD74,2023-08,357.46021942,10,2023-07
S_EURUSD_S33_4_6607397_2278A9A2,2023-08,275.17799095,9,2023-07
S_EURUSD_S27_0_968056_401BDC61,2023-08,250.56385563,8,2023-07
S_GBPUSD_S43_2_2540157_E8ED90A3,2023-08,245.70974932000001,7,2023-07
S_GBPUSD_S35_0_9865291_B99E8262,2023-08,220.23583627,6,2023-07
S_GBPUSD_S35_1_3749132_746299E1,2023-08,197.81562275,5,2023-07
L_GBPUSD_S30_2_580890_F34C951A,2023-08,196.22925558,4,2023-07
S_GBPUSD_S43_3_2447853_CDFA30F9,2023-08,193.54527936,3,2023-07
S_EURUSD_S25_2_65287_C19B1B5D,2023-08,185.53473844,2,2023-07
S_EURUSD_S33_3_9645908_9F4E969C,2023-08,174.10243974,1,2023-07
S_EURUSD_S41_2_1957722_C9BF0F3D,2023-09,297.8792312,10,2023-08
S_GBPUSD_S35_3_3685202_06824EEE,2023-09,228.30802543,9,2023-08
L_EURUSD_S32_2_9737662_670B1C00,2023-09,199.43065947,8,2023-08
S_GBPUSD_S35_3_6866072_43587EAA,2023-09,172.16740534,7,2023-08
S_GBPUSD_S43_2_2540157_E8ED90A3,2023-09,171.76927414,6,2023-08
S_GBPUSD_S43_4_757760_36AEAD74,2023-09,168.14444973,5,2023-08
S_EURUSD_S25_2_65287_C19B1B5D,2023-09,137.7923322,4,2023-08
S_EURUSD_S33_3_1448881_78FBD3B5,2023-09,131.56069584,3,2023-08
S_GBPUSD_S35_1_3749132_746299E1,2023-09,131.16601436,2,2023-08
S_EURUSD_S33_4_6607397_2278A9A2,2023-09,127.24601066,1,2023-08
S_GBPUSD_S35_1_7791031_A9EA0170,2023-10,247.08814442,10,2023-09
L_GBPUSD_S42_4_1061317_58ADC376,2023-10,190.42941150000001,9,2023-09
S_GBPUSD_S35_3_3685202_06824EEE,2023-10,182.09524117,8,2023-09
L_GBPUSD_S42_2_1172432_88BC73CA,2023-10,180.39896984,7,2023-09
S_GBPUSD_S35_4_6042225_C5E9B0ED,2023-10,173.03781952,6,2023-09
S_GBPUSD_S43_4_2441780_37DA97F5,2023-10,164.9801421,5,2023-09
L_EURUSD_S40_3_630091_CBB03EA1,2023-10,162.52680288,4,2023-09
S_GBPUSD_S43_2_2904025_DD672B80,2023-10,160.31392183,3,2023-09
S_GBPUSD_S35_4_5253232_FC905F76,2023-10,149.79896956,2,2023-09
S_GBPUSD_S43_1_3044982_98DCBCEA,2023-10,146.14133723,1,2023-09
L_EURUSD_S40_3_2590923_2CF7B5E9,2023-11,269.48642395,10,2023-10
L_EURUSD_S40_3_2605289_E2A4C437,2023-11,233.41241669000001,9,2023-10
L_GBPUSD_S34_3_2130541_D1469B50,2023-11,228.59235909,8,2023-10
S_GBPUSD_S43_1_2620167_C2DD906B,2023-11,227.18365921,7,2023-10
L_EURUSD_S40_1_2132828_63A45C87,2023-11,227.14195888,6,2023-10
S_GBPUSD_S35_1_5478144_D156D8AD,2023-11,188.84027168,5,2023-10
S_EURUSD_S25_2_65287_C19B1B5D,2023-11,184.32829157,4,2023-10
L_EURUSD_S40_2_2686210_3B21DE4C,2023-11,174.05651625,3,2023-10
L_EURUSD_S24_2_977031_FFF2B578,2023-11,170.72230079,2,2023-10
L_GBPUSD_S34_2_9722597_DB736AAF,2023-11,156.02351945,1,2023-10
L_GBPUSD_S42_3_2299833_367BB086,2023-12,415.36320309,10,2023-11
L_GBPUSD_S30_2_184556_39B984AC,2023-12,352.44220639,9,2023-11
S_GBPUSD_S43_4_757760_36AEAD74,2023-12,272.54965117,8,2023-11
L_GBPUSD_S42_4_1061317_58ADC376,2023-12,248.57141757,7,2023-11
S_GBPUSD_S35_3_3685202_06824EEE,2023-12,212.1823408,6,2023-11
L_GBPUSD_S34_4_8079186_743600CC,2023-12,186.70882123,5,2023-11
S_EURUSD_S41_2_1435660_4B44F5C0,2023-12,183.50168702000002,4,2023-11
L_EURUSD_S40_3_2590923_2CF7B5E9,2023-12,178.89353306,3,2023-11
L_GBPUSD_S42_2_1172432_88BC73CA,2023-12,168.61184709,2,2023-11
S_GBPUSD_S43_1_2620167_C2DD906B,2023-12,167.42379621999999,1,2023-11
S_EURUSD_S41_2_2481771_CFA13660,2024-01,18.90222395,10,2023-12
S_EURUSD_S41_3_2811247_8B4DA5C0,2024-01,4.34751105,9,2023-12
S_GBPUSD_S35_0_2648124_940EFDBB,2024-01,3.84808695,8,2023-12
S_GBPUSD_S31_2_140033_E9073697,2024-01,3.37705176,7,2023-12
S_GBPUSD_S43_2_2540157_E8ED90A3,2024-01,0.86411413,6,2023-12
L_EURUSD_S32_2_4602819_51C88649,2024-01,0.2718795,5,2023-12
L_EURUSD_S32_2_4224289_FD585161,2024-01,-2.89912845,4,2023-12
L_EURUSD_S40_3_1464010_33F517BA,2024-01,-4.07641927,3,2023-12
L_EURUSD_S24_2_977031_FFF2B578,2024-01,-5.525012,2,2023-12
L_EURUSD_S40_3_320272_20B3B02A,2024-01,-6.24915093,1,2023-12
