Period,Strategy,net_pnl_change,Grand_Total_Top_10_Divided_by_10,Grand_Total_Bottom_10_Divided_by_10
2022-07,S_EURUSD_S25_2_65287_C19B1B5D,215.45409071,134.23460499,
2022-07,S_EURUSD_S27_2_941811_128EF295,153.87239938,134.23460499,
2022-07,S_EURUSD_S41_1_1191650_D80D6642,144.66950671,134.23460499,
2022-07,S_EURUSD_S27_0_968056_401BDC61,129.43765216,134.23460499,
2022-07,L_EURUSD_S40_3_2590923_2CF7B5E9,127.65050238,134.23460499,
2022-07,L_EURUSD_S40_3_630091_CBB03EA1,120.68421006,134.23460499,
2022-07,L_GBPUSD_S30_2_580890_F34C951A,119.54857364,134.23460499,
2022-07,L_GBPUSD_S42_1_1080818_1D3D5D86,118.5478942,134.23460499,
2022-07,L_EURUSD_S32_1_9529041_FA929DA9,109.29965399,134.23460499,
2022-07,S_GBPUSD_S35_1_6667748_CD1C245A,103.18156667,134.23460499,
2022-07,S_GBPUSD_S43_0_385891_C10014B8,-417.49257308,,-221.47910689999998
2022-07,L_EURUSD_S40_3_2605289_E2A4C437,-332.28200635,,-221.47910689999998
2022-07,L_EURUSD_S40_4_2452882_AE0270FD,-215.56457791,,-221.47910689999998
2022-07,S_GBPUSD_S43_4_757760_36AEAD74,-210.13112416,,-221.47910689999998
2022-07,S_EURUSD_S41_1_3212656_28888BF4,-193.80783299,,-221.47910689999998
2022-07,S_EURUSD_S33_1_1965310_88C485AE,-184.03648668,,-221.47910689999998
2022-07,S_GBPUSD_S43_2_2540157_E8ED90A3,-179.33539406,,-221.47910689999998
2022-07,L_EURUSD_S40_3_320272_20B3B02A,-165.95812617,,-221.47910689999998
2022-07,S_GBPUSD_S43_4_2441780_37DA97F5,-162.05475245,,-221.47910689999998
2022-07,L_EURUSD_S32_2_9737662_670B1C00,-154.12819515,,-221.47910689999998
2022-08,L_GBPUSD_S42_3_1417966_7E821E6D,272.84950504,170.17784861200002,
2022-08,L_EURUSD_S24_2_977031_FFF2B578,207.85223491,170.17784861200002,
2022-08,S_EURUSD_S27_0_968056_401BDC61,197.38603447,170.17784861200002,
2022-08,S_GBPUSD_S35_3_6866072_43587EAA,187.03641768,170.17784861200002,
2022-08,S_EURUSD_S33_4_6607397_2278A9A2,155.73381467,170.17784861200002,
2022-08,L_EURUSD_S26_1_640342_4C128428,153.37883231,170.17784861200002,
2022-08,S_EURUSD_S41_1_1176919_2F8BC697,147.50943332999998,170.17784861200002,
2022-08,S_GBPUSD_S35_1_3749132_746299E1,137.43555195,170.17784861200002,
2022-08,S_EURUSD_S41_1_1761360_D96E3336,121.67138298,170.17784861200002,
2022-08,L_GBPUSD_S34_3_5369060_803C285A,120.92527878,170.17784861200002,
2022-08,L_EURUSD_S32_2_4602819_51C88649,-399.26081483999997,,-264.551053197
2022-08,L_GBPUSD_S34_3_2130541_D1469B50,-338.56715177,,-264.551053197
2022-08,L_GBPUSD_S42_2_1172432_88BC73CA,-314.19453540999996,,-264.551053197
2022-08,L_GBPUSD_S34_2_1227018_49061A95,-254.45925902,,-264.551053197
2022-08,L_EURUSD_S40_3_2590923_2CF7B5E9,-253.99936547,,-264.551053197
2022-08,L_EURUSD_S40_3_320272_20B3B02A,-236.13418626,,-264.551053197
2022-08,L_EURUSD_S32_1_3402811_AB110671,-235.78200054,,-264.551053197
2022-08,L_EURUSD_S40_0_154098_AC5C4907,-207.13693947000002,,-264.551053197
2022-08,L_EURUSD_S40_3_630091_CBB03EA1,-204.31517562,,-264.551053197
2022-08,L_EURUSD_S32_0_4752022_DC4F7115,-201.66110357,,-264.551053197
2022-09,L_GBPUSD_S42_1_1080818_1D3D5D86,371.29730486,234.55051120400003,
2022-09,L_GBPUSD_S30_2_580890_F34C951A,281.83927757,234.55051120400003,
2022-09,S_GBPUSD_S35_1_3749132_746299E1,259.79752148,234.55051120400003,
2022-09,L_GBPUSD_S42_4_1672550_C717C9EF,235.56405548,234.55051120400003,
2022-09,L_EURUSD_S40_3_630091_CBB03EA1,212.01760030999998,234.55051120400003,
2022-09,S_GBPUSD_S35_1_9519598_603C0308,209.70396809,234.55051120400003,
2022-09,S_GBPUSD_S43_3_882873_58F47051,203.26857788,234.55051120400003,
2022-09,L_GBPUSD_S42_4_775755_F760C0D4,201.52923787999998,234.55051120400003,
2022-09,L_GBPUSD_S34_3_5369060_803C285A,188.25773994,234.55051120400003,
2022-09,S_GBPUSD_S35_1_5478144_D156D8AD,182.22982855,234.55051120400003,
2022-09,S_GBPUSD_S43_4_2441780_37DA97F5,-349.12381199,,-261.086820107
2022-09,L_GBPUSD_S34_2_1227018_49061A95,-333.41901257,,-261.086820107
2022-09,L_GBPUSD_S34_4_5220014_3EE04BF0,-298.7614395,,-261.086820107
2022-09,S_GBPUSD_S43_0_385891_C10014B8,-273.55723746,,-261.086820107
2022-09,S_GBPUSD_S35_1_7791031_A9EA0170,-264.77882836000003,,-261.086820107
2022-09,L_GBPUSD_S42_4_1248147_8DDEB5ED,-244.63158949999996,,-261.086820107
2022-09,S_EURUSD_S41_2_1435660_4B44F5C0,-227.4245308,,-261.086820107
2022-09,L_EURUSD_S40_2_2686210_3B21DE4C,-210.47955043000002,,-261.086820107
2022-09,L_EURUSD_S26_3_153647_5E8BD1C5,-209.03813012,,-261.086820107
2022-09,L_EURUSD_S40_3_2605289_E2A4C437,-199.65407034000003,,-261.086820107
2022-10,L_GBPUSD_S30_2_184556_39B984AC,329.88474703,204.3071123287986,
2022-10,L_EURUSD_S26_1_640342_4C128428,305.48314185,204.3071123287986,
2022-10,S_GBPUSD_S35_2_7763450_208B97DC,241.05868442,204.3071123287986,
2022-10,S_GBPUSD_S43_2_2540157_E8ED90A3,193.32985613269796,204.3071123287986,
2022-10,S_GBPUSD_S35_1_9519598_603C0308,189.35233933,204.3071123287986,
2022-10,S_EURUSD_S41_2_2481771_CFA13660,189.13553321,204.3071123287986,
2022-10,S_GBPUSD_S43_4_49961_9510B871,163.5977206785122,204.3071123287986,
2022-10,L_GBPUSD_S42_4_1786370_A28D04BD,157.86833695,204.3071123287986,
2022-10,L_GBPUSD_S34_2_1227018_49061A95,137.20168758677588,204.3071123287986,
2022-10,L_GBPUSD_S42_4_2470336_82FFDCA5,136.1590761,204.3071123287986,
2022-10,S_GBPUSD_S35_1_7791031_A9EA0170,-302.0964431062262,,-217.94256879692267
2022-10,L_EURUSD_S40_1_2132828_63A45C87,-268.99569698,,-217.94256879692267
2022-10,S_GBPUSD_S43_0_2978460_E3DF6342,-249.73885090000002,,-217.94256879692267
2022-10,S_EURUSD_S33_4_6607397_2278A9A2,-229.74425959,,-217.94256879692267
2022-10,S_EURUSD_S41_3_2811247_8B4DA5C0,-216.61223305,,-217.94256879692267
2022-10,S_GBPUSD_S35_2_5049397_D5A19A22,-191.49184784000002,,-217.94256879692267
2022-10,S_GBPUSD_S43_4_2441780_37DA97F5,-190.95142634,,-217.94256879692267
2022-10,S_EURUSD_S33_1_1965310_88C485AE,-189.64495248000003,,-217.94256879692267
2022-10,S_GBPUSD_S43_3_2447853_CDFA30F9,-175.50334869958257,,-217.94256879692267
2022-10,L_GBPUSD_S42_4_1061317_58ADC376,-164.64662898341777,,-217.94256879692267
2022-11,L_EURUSD_S26_1_640342_4C128428,420.60359705,285.91844122500004,
2022-11,L_EURUSD_S26_3_153647_5E8BD1C5,385.70397241,285.91844122500004,
2022-11,L_EURUSD_S40_3_2590923_2CF7B5E9,334.7469617,285.91844122500004,
2022-11,S_GBPUSD_S35_3_4974188_B011F908,304.21129658,285.91844122500004,
2022-11,L_GBPUSD_S34_3_2130541_D1469B50,269.86435747,285.91844122500004,
2022-11,L_EURUSD_S26_0_642381_17F8C609,266.5504794,285.91844122500004,
2022-11,L_GBPUSD_S42_4_793519_D8FAB916,231.83167753,285.91844122500004,
2022-11,L_EURUSD_S32_1_2565713_BD746882,228.77159182999998,285.91844122500004,
2022-11,L_EURUSD_S40_3_2605289_E2A4C437,214.82213812999998,285.91844122500004,
2022-11,L_EURUSD_S32_2_2999345_8D98723E,202.07834015,285.91844122500004,
2022-11,L_EURUSD_S40_3_630091_CBB03EA1,-296.97012486,,-206.85889874499998
2022-11,S_GBPUSD_S35_4_6042225_C5E9B0ED,-256.63612527,,-206.85889874499998
2022-11,S_GBPUSD_S43_3_2447853_CDFA30F9,-228.5338131,,-206.85889874499998
2022-11,L_GBPUSD_S34_2_1227018_49061A95,-221.77541676,,-206.85889874499998
2022-11,S_EURUSD_S33_3_9645908_9F4E969C,-211.88763765,,-206.85889874499998
2022-11,S_GBPUSD_S43_4_776264_A0262E5D,-178.84626879,,-206.85889874499998
2022-11,L_GBPUSD_S34_4_8079186_743600CC,-176.66019873,,-206.85889874499998
2022-11,S_EURUSD_S33_1_1965310_88C485AE,-170.33101186,,-206.85889874499998
2022-11,S_GBPUSD_S43_1_2620167_C2DD906B,-169.24294996,,-206.85889874499998
2022-11,S_EURUSD_S41_2_2481771_CFA13660,-157.70544047,,-206.85889874499998
2022-12,L_EURUSD_S26_1_640342_4C128428,311.11444209,235.382666822,
2022-12,S_GBPUSD_S35_1_7791031_A9EA0170,295.30008664999997,235.382666822,
2022-12,L_EURUSD_S40_3_2605289_E2A4C437,256.11243459,235.382666822,
2022-12,S_GBPUSD_S35_3_9012049_9A8063D9,234.26758388,235.382666822,
2022-12,L_EURUSD_S40_1_2021494_EBF286EB,233.1841544,235.382666822,
2022-12,L_EURUSD_S32_1_9529041_FA929DA9,230.84992318,235.382666822,
2022-12,S_GBPUSD_S43_1_3044982_98DCBCEA,213.61122208,235.382666822,
2022-12,S_EURUSD_S27_2_941811_128EF295,209.85534439,235.382666822,
2022-12,L_GBPUSD_S34_2_9722597_DB736AAF,185.20825842,235.382666822,
2022-12,L_EURUSD_S32_0_4743030_AA8ABD07,184.32321854,235.382666822,
2022-12,L_EURUSD_S40_3_2590923_2CF7B5E9,-268.7170481,,-176.738184345
2022-12,S_EURUSD_S33_1_1965310_88C485AE,-259.09507642,,-176.738184345
2022-12,S_EURUSD_S41_2_2481771_CFA13660,-249.87851867999998,,-176.738184345
2022-12,S_GBPUSD_S43_1_2620167_C2DD906B,-192.99898916,,-176.738184345
2022-12,L_EURUSD_S40_2_2686210_3B21DE4C,-188.11208765,,-176.738184345
2022-12,S_GBPUSD_S43_0_385891_C10014B8,-143.09751739,,-176.738184345
2022-12,S_EURUSD_S33_3_1949787_E2DA9B94,-132.59677299,,-176.738184345
2022-12,S_EURUSD_S33_4_6607397_2278A9A2,-116.44245307999998,,-176.738184345
2022-12,L_EURUSD_S40_3_2710137_AF6280D9,-109.1421516,,-176.738184345
2022-12,S_EURUSD_S41_1_1726894_6E3285EE,-107.30122838000001,,-176.738184345
2023-01,L_EURUSD_S26_1_640342_4C128428,319.11020801,254.28885777699998,
2023-01,L_EURUSD_S40_3_2293618_E736654E,318.02537252,254.28885777699998,
2023-01,L_EURUSD_S26_3_153647_5E8BD1C5,279.92221132000003,254.28885777699998,
2023-01,S_GBPUSD_S43_4_757760_36AEAD74,260.21942358,254.28885777699998,
2023-01,S_GBPUSD_S35_1_7791031_A9EA0170,247.42849945,254.28885777699998,
2023-01,L_EURUSD_S32_1_9529041_FA929DA9,245.08111849,254.28885777699998,
2023-01,L_GBPUSD_S42_4_1061317_58ADC376,239.09103713000002,254.28885777699998,
2023-01,L_EURUSD_S40_1_2021494_EBF286EB,218.16881204999999,254.28885777699998,
2023-01,S_GBPUSD_S35_3_9012049_9A8063D9,217.21766073,254.28885777699998,
2023-01,S_GBPUSD_S35_1_3749132_746299E1,198.62423449,254.28885777699998,
2023-01,S_GBPUSD_S43_2_2540157_E8ED90A3,-164.95075264,,-96.14566269299999
2023-01,S_EURUSD_S33_4_6607397_2278A9A2,-137.59429512999998,,-96.14566269299999
2023-01,L_GBPUSD_S42_2_1172432_88BC73CA,-126.03511253,,-96.14566269299999
2023-01,S_EURUSD_S41_2_2481771_CFA13660,-95.97290102000001,,-96.14566269299999
2023-01,S_GBPUSD_S43_1_2620167_C2DD906B,-93.12205673000001,,-96.14566269299999
2023-01,S_GBPUSD_S43_2_667537_26810F2E,-77.53674944,,-96.14566269299999
2023-01,S_GBPUSD_S43_4_776264_A0262E5D,-71.69931997,,-96.14566269299999
2023-01,S_EURUSD_S41_2_1957722_C9BF0F3D,-67.59137353,,-96.14566269299999
2023-01,S_EURUSD_S33_3_6761538_C00ABECC,-64.90742039999999,,-96.14566269299999
2023-01,L_GBPUSD_S34_3_26672_719238E5,-62.04664553999999,,-96.14566269299999
2023-02,S_EURUSD_S33_4_6607397_2278A9A2,310.0936047,202.020153913,
2023-02,S_GBPUSD_S35_1_7791031_A9EA0170,255.00889511999998,202.020153913,
2023-02,S_EURUSD_S41_2_1435660_4B44F5C0,219.40042017000002,202.020153913,
2023-02,S_EURUSD_S33_4_4585430_51A0A4C5,203.73750834,202.020153913,
2023-02,S_GBPUSD_S35_1_9519598_603C0308,197.05395046,202.020153913,
2023-02,S_GBPUSD_S43_1_2620167_C2DD906B,177.76689818,202.020153913,
2023-02,S_EURUSD_S33_3_9645908_9F4E969C,170.87622915,202.020153913,
2023-02,L_GBPUSD_S42_1_1080818_1D3D5D86,168.39019137,202.020153913,
2023-02,S_GBPUSD_S35_4_6042225_C5E9B0ED,162.16519883,202.020153913,
2023-02,L_GBPUSD_S34_3_2130541_D1469B50,155.70864281000001,202.020153913,
2023-02,L_EURUSD_S26_3_153647_5E8BD1C5,-126.54206145,,-54.63781445200001
2023-02,L_EURUSD_S40_3_630091_CBB03EA1,-75.26141655,,-54.63781445200001
2023-02,L_GBPUSD_S42_2_1172432_88BC73CA,-72.62374425,,-54.63781445200001
2023-02,L_GBPUSD_S42_4_1061317_58ADC376,-66.08733983999998,,-54.63781445200001
2023-02,L_GBPUSD_S42_3_1417966_7E821E6D,-49.48632713000001,,-54.63781445200001
2023-02,S_GBPUSD_S35_1_3749132_746299E1,-39.191048450000004,,-54.63781445200001
2023-02,L_EURUSD_S32_2_2999345_8D98723E,-34.53534663,,-54.63781445200001
2023-02,L_GBPUSD_S42_1_518384_153C4268,-30.893371229999993,,-54.63781445200001
2023-02,L_EURUSD_S24_2_977031_FFF2B578,-29.477847330000003,,-54.63781445200001
2023-02,L_GBPUSD_S42_4_793519_D8FAB916,-22.279641660000003,,-54.63781445200001
2023-03,L_EURUSD_S26_3_153647_5E8BD1C5,342.01348838,273.357031074,
2023-03,L_EURUSD_S32_2_9737662_670B1C00,339.70874233,273.357031074,
2023-03,L_EURUSD_S40_3_2605289_E2A4C437,313.11465755,273.357031074,
2023-03,L_GBPUSD_S42_3_1417966_7E821E6D,302.983099,273.357031074,
2023-03,L_GBPUSD_S42_2_1172432_88BC73CA,267.14799363,273.357031074,
2023-03,L_EURUSD_S40_3_2590923_2CF7B5E9,252.73742617,273.357031074,
2023-03,L_EURUSD_S32_1_9529041_FA929DA9,250.39446021,273.357031074,
2023-03,L_GBPUSD_S42_2_1263481_012B54F7,235.46990752,273.357031074,
2023-03,L_EURUSD_S26_0_642381_17F8C609,225.99526207,273.357031074,
2023-03,L_EURUSD_S40_1_2132828_63A45C87,204.00527388,273.357031074,
2023-03,S_EURUSD_S25_2_65287_C19B1B5D,-178.61365827999998,,-90.14529678199999
2023-03,S_EURUSD_S33_0_9499365_BA5CFEB7,-149.82840084999998,,-90.14529678199999
2023-03,S_GBPUSD_S43_4_757760_36AEAD74,-130.52957902999998,,-90.14529678199999
2023-03,S_GBPUSD_S35_1_6667748_CD1C245A,-98.35416610000001,,-90.14529678199999
2023-03,L_GBPUSD_S42_1_2515945_2CDE8A9C,-81.88260183999999,,-90.14529678199999
2023-03,L_EURUSD_S24_2_977031_FFF2B578,-77.25880405000001,,-90.14529678199999
2023-03,S_GBPUSD_S31_2_140033_E9073697,-54.338985879999996,,-90.14529678199999
